poema_id,bertscore_openrnn_opus,bertscore_openrnn_ft,bertscore_marianmt_pt,bertscore_marianmt_ft,bertscore_mbart_pt,bertscore_mbart_ft,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
90,0.5350698828697205,,0.7892662286758423,,0.7758728861808777,,0.8214080333709717,0.8330574631690979,0.8262146711349487,0.8362429141998291,0.8231480717658997
91,0.5487984418869019,,0.7955055832862854,,0.7854943871498108,,0.8498889207839966,0.8589839339256287,0.8342198133468628,0.8171783089637756,0.8292787075042725
92,0.5693143606185913,,0.7447710633277893,,0.7264648675918579,,0.7592963576316833,0.7483338713645935,0.7537093758583069,0.7563729286193848,0.7528324723243713
93,0.5607091188430786,,0.7513336539268494,,0.7585042715072632,,0.7815022468566895,0.7587817311286926,0.7722778916358948,0.7603431940078735,0.7893484830856323
94,0.5694376230239868,,0.8067730069160461,,0.8588107824325562,,0.9057730436325072,0.8135688900947571,0.7886602282524109,0.8096245527267456,0.7204365730285645
95,0.5983116030693054,,0.7763170003890991,,0.788787305355072,,0.806433916091919,0.7861381769180298,0.7918403744697571,0.7900918126106262,0.7929102778434753
96,0.5753458142280579,,0.7298975586891174,,0.7449031472206116,,0.7970368266105652,0.7757008671760559,0.7782353162765503,0.7879425287246704,0.7839006781578064
97,0.5664438009262085,,0.7411928176879883,,0.759807288646698,,0.7792620062828064,0.7626309394836426,0.7681583166122437,0.7787240743637085,0.7897775769233704
98,0.5702401399612427,,0.7566960453987122,,0.7500497102737427,,0.7885056138038635,0.7868130207061768,0.7414427995681763,0.7724354267120361,0.7693122625350952
99,0.601542055606842,,0.7871396541595459,,0.7761005163192749,,0.808085560798645,0.7627519965171814,0.7579035758972168,0.7750981450080872,0.7607327103614807
100,0.6176555752754211,,0.7722159624099731,,0.7779269218444824,,0.8252226114273071,0.7798572182655334,0.7817291617393494,0.7779778242111206,0.7596400380134583
101,0.5915077924728394,,0.769175112247467,,0.7642881274223328,,0.7939570546150208,0.7659733295440674,0.7683652639389038,0.7875677347183228,0.7888317704200745
102,0.5805288553237915,,0.7724548578262329,,0.7688760757446289,,0.8056830167770386,0.8066941499710083,0.7660138010978699,0.8016600608825684,0.8060621619224548
103,0.5852571725845337,,0.7658085227012634,,0.7570341229438782,,0.7934208512306213,0.7622038125991821,0.75758957862854,0.7588303685188293,0.7903410792350769
104,0.5854452848434448,,0.7834416627883911,,0.7727831602096558,,0.789306640625,0.7766241431236267,0.7910072207450867,0.7916167974472046,0.7898890376091003
105,0.56259685754776,,0.753504753112793,,0.7366493940353394,,0.77142733335495,0.7379788160324097,0.754903256893158,0.7383310198783875,0.7479419112205505
106,0.5657313466072083,,0.746953010559082,,0.7538338303565979,,0.777691662311554,0.7474159002304077,0.752884566783905,0.752255916595459,0.774122953414917
107,0.583135187625885,,0.7374957203865051,,0.7540454864501953,,0.7825831174850464,0.7487367391586304,0.7435455322265625,0.7767069935798645,0.7808180451393127
108,0.5908508896827698,,0.7701716423034668,,0.7572537064552307,,0.7904552221298218,0.7879216074943542,0.7715917229652405,0.7693117260932922,0.7827762961387634
109,0.5742339491844177,,0.751639187335968,,0.744307279586792,,0.7744278907775879,0.7419093251228333,0.7497397661209106,0.7579733729362488,0.7681604027748108
110,0.6023297905921936,,0.7863369584083557,,0.7717704772949219,,0.7966263294219971,0.7862297296524048,0.7804794311523438,0.7800114154815674,0.802818775177002
111,0.6367020606994629,,0.8427157998085022,,0.8158890008926392,,0.8752050995826721,0.8675903677940369,0.857323944568634,0.830700695514679,0.8508564829826355
112,0.576300859451294,,0.7846922874450684,,0.7789186239242554,,0.8340305685997009,0.8302106261253357,0.7992533445358276,0.8173935413360596,0.818332314491272
113,0.5865561366081238,,0.7643476724624634,,0.7705022692680359,,0.8005803227424622,0.7939300537109375,0.806242823600769,0.7899515628814697,0.7940473556518555
114,0.5882630348205566,,0.767618715763092,,0.7626198530197144,,0.8357062339782715,0.7994375228881836,0.8223841190338135,0.8083155155181885,0.8012340068817139
115,0.56802898645401,,0.7823801040649414,,0.7640523910522461,,0.8304210901260376,0.8180304169654846,0.801043689250946,0.8220298886299133,0.8250988721847534
116,0.588488757610321,,0.8127502202987671,,0.8121664524078369,,0.8365010023117065,0.8477824926376343,0.8259742259979248,0.8364275693893433,0.8337579369544983
117,0.7125794887542725,,0.8190391659736633,,0.8666868209838867,,0.8127899169921875,0.7935667634010315,0.8118874430656433,0.8818071484565735,0.8243539333343506
118,0.6487513780593872,,0.7960503697395325,,0.778572678565979,,0.7500001788139343,0.8261843323707581,0.864036500453949,0.8687710165977478,0.860262930393219
119,0.6274911761283875,,0.8109975457191467,,0.8216993808746338,,0.721244215965271,0.8545880317687988,0.8488839864730835,0.8571770787239075,0.8567952513694763
120,0.5353233218193054,,0.7598114013671875,,0.7514533996582031,,0.7790567874908447,0.7585906982421875,0.751936674118042,0.7732290029525757,0.7735531330108643
121,0.5711831450462341,,0.7526960968971252,,0.7594545483589172,,0.7767785787582397,0.7561701536178589,0.7579233646392822,0.7668711543083191,0.7736121416091919
122,0.6174766421318054,,0.8201990127563477,,0.7813172340393066,,0.8573859930038452,0.8390263319015503,0.8508479595184326,0.8366432785987854,0.8312692642211914
123,0.5762218236923218,,0.8200809359550476,,0.7888440489768982,,0.8512496948242188,0.8371387124061584,0.8496113419532776,0.8385136127471924,0.8332547545433044
124,0.5653467178344727,,0.8285384178161621,,0.8086401224136353,,0.8692317605018616,0.8590651750564575,0.8384039402008057,0.8256567120552063,0.8567715883255005
125,0.5722657442092896,,0.7773266434669495,,0.8028947710990906,,0.8266872763633728,0.8127796053886414,0.8118425607681274,0.8269669413566589,0.8298708200454712
126,0.5859636068344116,,0.8062052130699158,,0.793279767036438,,0.8650738596916199,0.8361102342605591,0.8179823160171509,0.8426671028137207,0.8291071057319641
127,0.5739628076553345,,0.8182854056358337,,0.7972026467323303,,0.8422329425811768,0.8025040030479431,0.802661120891571,0.8601426482200623,0.8995364308357239
128,0.576656699180603,,0.8379356861114502,,0.7969077825546265,,0.8942080736160278,0.8635786175727844,0.855656623840332,0.8592323660850525,0.8138249516487122
129,0.579037070274353,,0.8071457147598267,,0.7886877655982971,,0.8088306188583374,0.8401764631271362,0.8345156908035278,0.8282604813575745,0.790196418762207
130,0.5618612170219421,,0.8206653594970703,,0.8242014050483704,,0.8612964153289795,0.8483598828315735,0.8481526970863342,0.8548918962478638,0.8586551547050476
131,0.5563439130783081,,0.7459716796875,,0.7231849431991577,,0.8222045302391052,0.7895419597625732,0.7895497679710388,0.7873451113700867,0.7818208336830139
132,0.5809668302536011,,0.7896599173545837,,0.8297125697135925,,0.8861059546470642,0.8652739524841309,0.8671590089797974,0.848434329032898,0.8548521399497986
133,0.621248722076416,,0.8111802339553833,,0.7929041385650635,,0.8360262513160706,0.8117519021034241,0.7988278865814209,0.8077719807624817,0.831329345703125
134,0.5572304725646973,,0.8080852031707764,,0.8104140758514404,,0.8576740026473999,0.819937527179718,0.8329307436943054,0.8358794450759888,0.8439475893974304
135,0.5700454711914062,,0.8245015144348145,,0.8058952689170837,,0.8568571209907532,0.8500769138336182,0.8493402600288391,0.8556489944458008,0.8143541812896729
136,0.5554556250572205,,0.8259281516075134,,0.8166505694389343,,0.8764273524284363,0.8866826891899109,0.8808214068412781,0.8656017780303955,0.8683803677558899
137,0.5414097309112549,,0.8288275599479675,,0.8223459124565125,,0.8666530251502991,0.8803346157073975,0.8791062831878662,0.8689453601837158,0.8593507409095764
138,0.5552492737770081,,0.8109808564186096,,0.8050074577331543,,0.8387812376022339,0.8347219824790955,0.8322149515151978,0.8345445394515991,0.8226476311683655
139,0.5717465877532959,,0.7749569416046143,,0.7661599516868591,,0.8067215085029602,0.7933576107025146,0.7967008948326111,0.8031711578369141,0.796285092830658
140,0.519953727722168,,0.7731334567070007,,0.7663196921348572,,0.8221261501312256,0.8000482320785522,0.8088215589523315,0.7895054817199707,0.8098982572555542
141,0.5146207213401794,,0.7686783671379089,,0.7487685680389404,,0.7543277144432068,0.7931068539619446,0.7755252718925476,0.801069974899292,0.8084321618080139
142,0.5646896958351135,,0.7749786972999573,,0.783535897731781,,0.8022584319114685,0.8024810552597046,0.7911468744277954,0.7991416454315186,0.8005083799362183
143,0.5835455060005188,,0.740462064743042,,0.7644658088684082,,0.82585209608078,0.8015763759613037,0.7686685919761658,0.8041958808898926,0.7756409049034119
144,0.5356034636497498,,0.7794528007507324,,0.7569087147712708,,0.8086833357810974,0.7848128080368042,0.8033674359321594,0.7809734344482422,0.7779889702796936
145,0.6190168261528015,,0.8537970781326294,,0.8253833055496216,,0.8712728023529053,0.8740717172622681,0.8722172975540161,0.8440433144569397,0.8616081476211548
146,0.5836917161941528,,0.8242324590682983,,0.8121845126152039,,0.87116938829422,0.8475921154022217,0.8506168127059937,0.8484652638435364,0.8463075160980225
147,0.5668476819992065,,0.819715678691864,,0.8013153076171875,,0.8465397953987122,0.847541332244873,0.8482245206832886,0.852857768535614,0.8240041732788086
148,0.5690018534660339,,0.8113698363304138,,0.813149094581604,,0.8567396998405457,0.8221139311790466,0.819643497467041,0.8473898768424988,0.83851557970047
149,0.567729651927948,,0.7676676511764526,,0.7682260870933533,,0.8005614280700684,0.7983220219612122,0.7957412004470825,0.7726153135299683,0.7691379189491272
150,0.5162559151649475,,0.7492488026618958,,0.7808190584182739,,0.8233254551887512,0.8004183769226074,0.8298541307449341,0.8351033926010132,0.7764888405799866
151,0.5844936370849609,,0.8202416896820068,,0.8053011894226074,,0.8517828583717346,0.8547018766403198,0.8060506582260132,0.8549450635910034,0.8438107967376709
152,0.5239071846008301,,0.8103399276733398,,0.821969747543335,,0.8617293834686279,0.8550002574920654,0.8611738681793213,0.8323010802268982,0.8216128945350647
153,0.5631172060966492,,0.8314411640167236,,0.8170735836029053,,0.8467279672622681,0.8399941325187683,0.8491727113723755,0.8529723882675171,0.8581292033195496
154,0.561246931552887,,0.8621318340301514,,0.8251098990440369,,0.8970516324043274,0.8855958580970764,0.8802505731582642,0.8806123733520508,0.8736715912818909
155,0.5712605714797974,,0.8301933407783508,,0.8304703831672668,,0.8735329508781433,0.8581118583679199,0.815195620059967,0.8443892598152161,0.8520108461380005
156,0.5318030714988708,,0.8159562945365906,,0.811020016670227,,0.8472883701324463,0.8633064031600952,0.8426607251167297,0.8437333703041077,0.8416955471038818
157,0.5516049861907959,,0.7826449871063232,,0.7710242867469788,,0.8227200508117676,0.814008355140686,0.8149741888046265,0.817213773727417,0.817068874835968
158,0.6193456053733826,,0.8710874319076538,,0.8565319776535034,,0.8909513354301453,0.8758079409599304,0.8704054355621338,0.9074425101280212,0.8547384738922119
159,0.5368925333023071,,0.8377280235290527,,0.8180635571479797,,0.86871737241745,0.8699781894683838,0.8527640700340271,0.8641937375068665,0.8554575443267822
160,0.5693567991256714,,0.8135015964508057,,0.8131341934204102,,0.8386070132255554,0.8252618312835693,0.8216875791549683,0.8046906590461731,0.8170017004013062
161,0.5418580770492554,,0.8547013401985168,,0.8116158246994019,,0.8721932172775269,0.8803212642669678,0.8531131744384766,0.8689550757408142,0.8681379556655884
